cve_id,vendor_project,product,vulnerability_name,date_added,short_description,required_action,due_date,pub_date,cvss,cwe,vector,complexity,severity,cloud_component,vulnerability_category
CVE-2021-37973,google,Chrome,Google Chrome Use-After-Free Vulnerability,03-11-2021,"Use-after-free weakness in Portals, Google's new web page navigation system for Chrome. Successful exploitation can let attackers to execute code.",Apply updates per vendor instructions.,17-11-2021,08-10-2021,9.6,CWE-416,NETWORK,LOW,CRITICAL,Management and Governance,Application
CVE-2021-30551,google,Chromium V8 Engine,Chromium V8 Type Confusion Vulnerability,03-11-2021,Type confusion in V8 in Google Chrome prior to 91.0.4472.101 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page.,Apply updates per vendor instructions.,17-11-2021,15-06-2021,8.8,CWE-843,NETWORK,LOW,HIGH,Management and Governance,Other
CVE-2021-37975,google,Chrome,Google Chrome Use-After-Free Vulnerability,03-11-2021,Google Chrome use-after-free error within the V8 browser engine.,Apply updates per vendor instructions.,17-11-2021,08-10-2021,8.8,CWE-416,NETWORK,LOW,HIGH,Management and Governance,Application
CVE-2020-6418,google,Chromium V8 Engine,Chromium V8 Type Confusion Vulnerability,03-11-2021,Type confusion in V8 in Google Chrome prior to 80.0.3987.122 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page.,Apply updates per vendor instructions.,03-05-2022,27-02-2020,8.8,CWE-843,NETWORK,LOW,HIGH,Management and Governance,Other
CVE-2021-30554,google,Chrome,Google Chrome WebGL Use-After-Free Vulnerability,03-11-2021,Use after free in WebGL in Google Chrome prior to 91.0.4472.114 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page.,Apply updates per vendor instructions.,17-11-2021,02-07-2021,8.8,CWE-416,NETWORK,LOW,HIGH,Management and Governance,Application
CVE-2021-21206,google,Chromium Blink,Chromium Blink Use-After-Free Vulnerability,03-11-2021,Use after free in Blink in Google Chrome prior to 89.0.4389.128 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page.,Apply updates per vendor instructions.,17-11-2021,26-04-2021,8.8,CWE-416,NETWORK,LOW,HIGH,Management and Governance,Application
CVE-2021-38000,google,Chromium V8 Engine,Google Chromium V8 Insufficient Input Validation Vulnerability,03-11-2021,,Apply updates per vendor instructions.,17-11-2021,23-11-2021,6.1,CWE-20,NETWORK,LOW,MEDIUM,Management and Governance,Other
CVE-2021-38003,google,Chromium V8 Engine,Google Chromium V8 Incorrect Implementation Vulnerability,03-11-2021,,Apply updates per vendor instructions.,17-11-2021,23-11-2021,8.8,CWE-787,NETWORK,LOW,HIGH,Management and Governance,Other
CVE-2021-21224,google,Chromium V8 Engine,Chromium V8 JavaScript Engine Remote Code Execution Vulnerability,03-11-2021,Type confusion in V8 in Google Chrome prior to 90.0.4430.85 allowed a remote attacker to execute arbitrary code inside a sandbox via a crafted HTML page.,Apply updates per vendor instructions.,17-11-2021,26-04-2021,8.8,CWE-843,NETWORK,LOW,HIGH,Management and Governance,Network
CVE-2021-21193,google,Chromium V8 Engine,Chromium V8 Use-After-Free Vulnerability,03-11-2021,Use after free in Blink in Google Chrome prior to 89.0.4389.90 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page.,Apply updates per vendor instructions.,17-11-2021,16-03-2021,8.8,CWE-416,NETWORK,LOW,HIGH,Management and Governance,Application
CVE-2021-21220,google,Chromium V8 Engine,Chromium V8 Input Validation Vulnerability,03-11-2021,Insufficient validation of untrusted input in V8 in Google Chrome prior to 89.0.4389.128 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page.,Apply updates per vendor instructions.,17-11-2021,26-04-2021,8.8,"CWE-119,CWE-20",NETWORK,LOW,HIGH,Management and Governance,Other
CVE-2021-30563,google,Chrome,Google Chrome Browser V8 Arbitrary Code Execution,03-11-2021,Type Confusion in V8 in Google Chrome prior to 91.0.4472.164 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page.,Apply updates per vendor instructions.,17-11-2021,03-08-2021,8.8,CWE-843,NETWORK,LOW,HIGH,Management and Governance,Application
CVE-2020-4430,ibm,IBM Data Risk Manager,IBM Data Risk Manager Arbritary File Download,03-11-2021,"IBM Data Risk Manager 2.0.1, 2.0.2, 2.0.3, and 2.0.4 could allow a remote authenticated attacker to traverse directories on the system. An attacker could send a specially-crafted URL request to download arbitrary files from the system. IBM X-Force ID: 180535.",Apply updates per vendor instructions.,03-05-2022,07-05-2020,4.3,CWE-22,NETWORK,LOW,MEDIUM,Management and Governance,Data
CVE-2020-4427,ibm,IBM Data Risk Manager,IBM Data Risk Manager Authentication Bypass,03-11-2021,"IBM Data Risk Manager 2.0.1, 2.0.2, 2.0.3, 2.0.4, 2.0.5, and 2.0.6 could allow a remote attacker to bypass security restrictions when configured with SAML authentication. By sending a specially crafted HTTP request, an attacker could exploit this vulnerability to bypass the authentication process and gain full administrative access to the system. IBM X-Force ID: 180532.",Apply updates per vendor instructions.,03-05-2022,07-05-2020,9.8,CWE-287,NETWORK,LOW,CRITICAL,Management and Governance,IAM
CVE-2020-4428,ibm,IBM Data Risk Manager,IBM Data Risk Manager Command Injection,03-11-2021,"IBM Data Risk Manager 2.0.1, 2.0.2, 2.0.3, and 2.0.4 could allow a remote authenticated attacker to execute arbitrary commands on the system. IBM X-Force ID: 180533.",Apply updates per vendor instructions.,03-05-2022,07-05-2020,9.1,CWE-78,NETWORK,LOW,CRITICAL,IaaS,Network
CVE-2019-4716,ibm,IBM Planning Analytics,IBM Planning Analytics configuration overwrite vulnerability,03-11-2021,"IBM Planning Analytics 2.0.0 through 2.0.8 is vulnerable to a configuration overwrite that allows an unauthenticated user to login as ""admin"", and then execute code as root or SYSTEM via TM1 scripting. IBM X-Force ID: 172094.",Apply updates per vendor instructions.,03-05-2022,18-12-2019,9.8,"CWE-22,CWE-94",NETWORK,LOW,CRITICAL,Management and Governance,Authentication
CVE-2016-3715,imagemagick,ImageMagick,ImageMagick Ephemeral Coder Arbitrary File Deletion Vulnerability,03-11-2021,The EPHEMERAL coder in ImageMagick before 6.9.3-10 and 7.x before 7.0.1-1 allows remote attackers to delete arbitrary files via a crafted image.,Apply updates per vendor instructions.,03-05-2022,05-05-2016,5.5,CWE-284,LOCAL,LOW,MEDIUM,Management and Governance,Other
CVE-2016-3718,imagemagick,ImageMagick,ImageMagick SSRF Vulnerability,03-11-2021,The (1) HTTP and (2) FTP coders in ImageMagick before 6.9.3-10 and 7.x before 7.0.1-1 allow remote attackers to conduct server-side request forgery (SSRF) attacks via a crafted image.,Apply updates per vendor instructions.,03-05-2022,05-05-2016,6.3,CWE-20,LOCAL,LOW,MEDIUM,IaaS,Network
CVE-2020-15505,ivanti,MobileIron Core & Connector,"MobileIron Core, Connector, Sentry, and RDM Remote Code Execution Vulnerability",03-11-2021,A remote code execution vulnerability that allows remote attackers to execute arbitrary code via unspecified vectors.,Apply updates per vendor instructions.,03-05-2022,07-07-2020,9.8,NVD-CWE-noinfo,NETWORK,LOW,CRITICAL,Management and Governance,Network
CVE-2021-30116,kaseya,Kaseya VSA,Kaseya VSA Remote Code Execution Vulnerability,03-11-2021,"Kaseya VSA before 9.5.7 allows credential disclosure, as exploited in the wild in July 2021.",Apply updates per vendor instructions.,17-11-2021,09-07-2021,9.8,CWE-522,NETWORK,LOW,CRITICAL,Management and Governance,Network
CVE-2020-7961,liferay,Liferay Portal,Liferay Portal prior to 7.2.1 CE GA2 Remote Code Execution Vulnerability,03-11-2021,Deserialization of Untrusted Data in Liferay Portal prior to 7.2.1 CE GA2 allows remote attackers to execute arbitrary code via JSON web services (JSONWS).,Apply updates per vendor instructions.,03-05-2022,20-03-2020,9.8,CWE-502,NETWORK,LOW,CRITICAL,Management and Governance,Network
CVE-2021-23874,mcafee,McAfee Total Protection (MTP),McAfee Total Protection MTP Arbitrary Process Execution,03-11-2021,Arbitrary Process Execution vulnerability in McAfee Total Protection (MTP) prior to 16.0.30 allows a local user to gain elevated privileges and execute arbitrary code bypassing MTP self-defense.,Apply updates per vendor instructions.,17-11-2021,10-02-2021,7.8,CWE-269,LOCAL,LOW,HIGH,Management and Governance,Access Control
CVE-2021-22506,micro focus,Micro Focus Access Manager,Micro Focus Access Manager Earlier Than 5.0 Information Leakage,03-11-2021,Micro Focus Access Manager versions prior to 5.0 contain a vulnerability which allows for information leakage.,Apply updates per vendor instructions.,17-11-2021,26-03-2021,7.5,CWE-200,NETWORK,LOW,HIGH,Management and Governance,Access Control
CVE-2021-22502,micro focus,Micro Focus Operation Bridge Reporter (OBR),Micro Focus Operation Bridge Report (OBR) Server Remote Code Execution Vulnerability,03-11-2021,"Remote Code execution vulnerability in Micro Focus Operation Bridge Reporter (OBR) product, affecting version 10.40. The vulnerability could be exploited to allow Remote Code Execution on the OBR server.",Apply updates per vendor instructions.,17-11-2021,08-02-2021,9.8,CWE-94,NETWORK,LOW,CRITICAL,Management and Governance,Network
CVE-2021-38647,microsoft,Microsoft Azure Open Management Infrastructure (OMI),Microsoft Azure Open Management Infrastructure (OMI) Remote Code Execution Vulnerability,03-11-2021,Azure Open Management Infrastructure Remote Code Execution Vulnerability,Apply updates per vendor instructions.,17-11-2021,15-09-2021,9.8,NVD-CWE-noinfo,NETWORK,LOW,CRITICAL,Management and Governance,Network
CVE-2016-0167,microsoft,Windows,Microsoft Windows Kernel 'Win32k.sys' Local Privilege Escalation Vulnerability,03-11-2021,"The kernel-mode driver allows local users to gain privileges via a crafted application, aka ""Win32k Elevation of Privilege Vulnerability,"" a different vulnerability than CVE-2016-0143 and CVE-2016-0165.",Apply updates per vendor instructions.,03-05-2022,12-04-2016,7.8,CWE-264,LOCAL,LOW,HIGH,Management and Governance,Application
CVE-2020-0878,microsoft,"Microsoft Edge, Internet Explorer",Microsoft Browser Memory Corruption Vulnerability,03-11-2021,A remote code execution vulnerability exists in the way that Microsoft browsers access objects in memory.,Apply updates per vendor instructions.,03-05-2022,11-09-2020,7.5,CWE-787,NETWORK,HIGH,HIGH,Management and Governance,Application
CVE-2021-31955,microsoft,Windows,Microsoft Windows Kernel Information Disclosure Vulnerability,03-11-2021,Windows Kernel Information Disclosure Vulnerability,Apply updates per vendor instructions.,17-11-2021,08-06-2021,5.5,CWE-200,LOCAL,LOW,MEDIUM,Management and Governance,Data
CVE-2021-1647,microsoft,Microsoft Defender,Microsoft Defender Remote Code Execution Vulnerability,03-11-2021,Microsoft Defender Remote Code Execution Vulnerability,Apply updates per vendor instructions.,17-11-2021,12-01-2021,7.8,NVD-CWE-noinfo,LOCAL,LOW,HIGH,Management and Governance,Network
CVE-2021-33739,microsoft,Microsoft Desktop Window Manager (DWM),Microsoft DWM Core Library Privilege Escalation Vulnerability,03-11-2021,Microsoft Desktop Window Manager (DWM) Core Library Privilege Escalation Vulnerability,Apply updates per vendor instructions.,17-11-2021,08-06-2021,7.8,NVD-CWE-noinfo,LOCAL,LOW,HIGH,Management and Governance,Access Control
CVE-2016-0185,microsoft,Windows,Microsoft Windows Media Center Remote Code Execution vulnerability,03-11-2021,"Media Center allows remote attackers to execute arbitrary code via a crafted Media Center link (aka .mcl) file, aka ""Windows Media Center Remote Code Execution Vulnerability.""",Apply updates per vendor instructions.,03-05-2022,11-05-2016,7.8,CWE-20,LOCAL,LOW,HIGH,Management and Governance,Network
CVE-2020-0683,microsoft,Windows,Microsoft Windows Installer Privilege Escalation Vulnerability,03-11-2021,"A privilege escalation vulnerability exists in the Windows Installer when MSI packages process symbolic links, aka 'Windows Installer Elevation of Privilege Vulnerability'. This CVE ID is unique from CVE-2020-0686.",Apply updates per vendor instructions.,03-05-2022,11-02-2020,7.8,CWE-269,LOCAL,LOW,HIGH,Management and Governance,Access Control
CVE-2020-17087,microsoft,Windows,Microsoft Windows Kernel Cryptography Driver Privilege Escalation Vulnerability,03-11-2021,Windows Kernel Local Privilege Escalation Vulnerability,Apply updates per vendor instructions.,03-05-2022,11-11-2020,7.8,NVD-CWE-noinfo,LOCAL,LOW,HIGH,SaaS,Access Control
CVE-2021-33742,microsoft,Microsoft MSHTML,Microsoft MSHTML Platform Remote Code Execution Vulnerability,03-11-2021,Microsoft MSHTML Remote Code Execution Vulnerability,Apply updates per vendor instructions.,17-11-2021,08-06-2021,8.8,NVD-CWE-noinfo,NETWORK,LOW,HIGH,Management and Governance,Network
CVE-2021-31199,microsoft,Microsoft Enhanced Cryptographic Provider,Microsoft Enhanced Cryptographic Provider Privilege Escalation Vulnerabilities,03-11-2021,Microsoft Enhanced Cryptographic Provider Privilege Escalation Vulnerability. This CVE ID is unique from CVE-2021-31201.,Apply updates per vendor instructions.,17-11-2021,08-06-2021,7.8,CWE-269,LOCAL,LOW,HIGH,SaaS,Access Control
CVE-2021-33771,microsoft,Windows,Microsoft Windows Kernel Privilege Escalation Vulnerability,03-11-2021,"Windows Kernel Privilege Escalation Vulnerability. This CVE ID is unique from CVE-2021-31979, CVE-2021-34514.",Apply updates per vendor instructions.,17-11-2021,14-07-2021,7.8,NVD-CWE-noinfo,LOCAL,LOW,HIGH,Management and Governance,Access Control
CVE-2021-31956,microsoft,Windows,Microsoft Windows NTFS Privilege Escalation Vulnerability,03-11-2021,Windows NTFS Privilege Escalation Vulnerability,Apply updates per vendor instructions.,17-11-2021,08-06-2021,7.8,NVD-CWE-noinfo,LOCAL,LOW,HIGH,Management and Governance,Access Control
CVE-2021-31201,microsoft,Microsoft Enhanced Cryptographic Provider,Microsoft Enhanced Cryptographic Provider Privilege Escalation Vulnerabilities,03-11-2021,Microsoft Enhanced Cryptographic Provider Privilege Escalation Vulnerability. This CVE ID is unique from CVE-2021-31199.,Apply updates per vendor instructions.,17-11-2021,08-06-2021,7.8,CWE-269,LOCAL,LOW,HIGH,SaaS,Access Control
CVE-2021-31979,microsoft,Windows,Microsoft Windows Kernel Privilege Escalation Vulnerability,03-11-2021,"Windows Kernel Privilege Escalation Vulnerability. This CVE ID is unique from CVE-2021-33771, CVE-2021-34514.",Apply updates per vendor instructions.,17-11-2021,14-07-2021,7.8,NVD-CWE-noinfo,LOCAL,LOW,HIGH,Management and Governance,Access Control
CVE-2020-0938,microsoft,"Windows, Windows Adobe Type Manager Library",Microsoft Windows Type 1 Font Parsing Remote Code Execution Vulnerability,03-11-2021,A remote code execution vulnerability exists in Microsoft Windows when the Windows Adobe Type Manager Library improperly handles a specially-crafted multi-master font - Adobe Type 1 PostScript format. This CVE ID is unique from CVE-2020-1020.,Apply updates per vendor instructions.,03-05-2022,15-04-2020,7.8,CWE-787,LOCAL,LOW,HIGH,Management and Governance,Network
CVE-2020-17144,microsoft,Microsoft Exchange Server,Microsoft Exchange Remote Code Execution Vulnerability,03-11-2021,"Microsoft Exchange Remote Code Execution Vulnerability. This CVE ID is unique from CVE-2020-17117, CVE-2020-17132, CVE-2020-17141, CVE-2020-17142.",Apply updates per vendor instructions.,03-05-2022,10-12-2020,8.4,NVD-CWE-noinfo,NETWORK,LOW,HIGH,Management and Governance,Network
CVE-2020-0986,microsoft,Windows,Microsoft Windows Kernel Privilege Escalation Vulnerability,03-11-2021,"A privilege escalation vulnerability exists when the Windows kernel fails to properly handle objects in memory, aka 'Windows Kernel Elevation of Privilege Vulnerability'. This CVE ID is unique from CVE-2020-1237, CVE-2020-1246, CVE-2020-1262, CVE-2020-1264, CVE-2020-1266, CVE-2020-1269, CVE-2020-1273, CVE-2020-1274, CVE-2020-1275, CVE-2020-1276, CVE-2020-1307, CVE-2020-1316.",Apply updates per vendor instructions.,03-05-2022,09-06-2020,7.8,CWE-787,LOCAL,LOW,HIGH,Management and Governance,Access Control
CVE-2020-1020,microsoft,"Windows, Windows Adobe Type Manager Library",Microsoft Windows Type 1 Font Parsing Remote Code Execution Vulnerability,03-11-2021,A remote code execution vulnerability exists in Microsoft Windows when the Windows Adobe Type Manager Library improperly handles a specially-crafted multi-master font - Adobe Type 1 PostScript format. This CVE ID is unique from CVE-2020-0938.,Apply updates per vendor instructions.,03-05-2022,15-04-2020,8.8,NVD-CWE-noinfo,NETWORK,LOW,HIGH,Management and Governance,Network
CVE-2021-38645,microsoft,Microsoft Azure Open Management Infrastructure (OMI),Microsoft Azure Open Management Infrastructure (OMI) Privilege Escalation Vulnerability,03-11-2021,Open Management Infrastructure Privilege Escalation Vulnerability,Apply updates per vendor instructions.,17-11-2021,15-09-2021,7.8,CWE-269,LOCAL,LOW,HIGH,Management and Governance,Access Control
CVE-2021-34523,microsoft,Microsoft Exchange Server,Microsoft Exchange Server Privilege Escalation Vulnerability,03-11-2021,"Microsoft Exchange Server Privilege Escalation Vulnerability. This CVE ID is unique from CVE-2021-33768, CVE-2021-34470.",Apply updates per vendor instructions.,17-11-2021,14-07-2021,9.8,CWE-269,NETWORK,LOW,CRITICAL,Management and Governance,Application
CVE-2017-7269,microsoft,Internet Information Services (IIS),Microsft Windows Server 2003 R2 IIS WEBDAV buffer overflow Remote Code Execution vulnerability (COVID-19-CTI list),03-11-2021,"Buffer overflow in the ScStoragePathFromUrl function in the WebDAV service in Internet Information Services (IIS) 6.0 in Microsoft Windows Server 2003 R2 allows remote attackers to execute arbitrary code via a long header beginning with ""If: <http://"" in a PROPFIND request.",Apply updates per vendor instructions.,03-05-2022,27-03-2017,9.8,CWE-119,NETWORK,LOW,CRITICAL,SaaS,Network
CVE-2021-36948,microsoft,Windows,Microsoft Windows Update Medic Service Privilege Escalation Vulnerability,03-11-2021,Windows Update Medic Service Privilege Escalation Vulnerability,Apply updates per vendor instructions.,17-11-2021,12-08-2021,7.8,CWE-269,LOCAL,LOW,HIGH,Management and Governance,Access Control
CVE-2021-38649,microsoft,Microsoft Azure Open Management Infrastructure (OMI),Microsoft Azure Open Management Infrastructure (OMI) Privilege Escalation Vulnerability,03-11-2021,Open Management Infrastructure Privilege Escalation Vulnerability,Apply updates per vendor instructions.,17-11-2021,15-09-2021,7.8,CWE-269,LOCAL,LOW,HIGH,Management and Governance,Access Control
CVE-2020-0688,microsoft,Microsoft Exchange Server,Microsoft Exchange Server Key Validation Vulnerability,03-11-2021,"A remote code execution vulnerability exists in Microsoft Exchange software when the software fails to properly handle objects in memory, aka 'Microsoft Exchange Memory Corruption Vulnerability'.",Apply updates per vendor instructions.,03-05-2022,11-02-2020,8.8,CWE-798,NETWORK,LOW,HIGH,Management and Governance,Application
CVE-2017-0143,microsoft,SMBv1 server,Microsoft Windows SMBv1 Remote Code Execution Vulnerability,03-11-2021,"The SMBv1 server allows remote attackers to execute arbitrary code via crafted packets, aka ""Windows SMB Remote Code Execution Vulnerability."" This vulnerability is different from those described in CVE-2017-0144, CVE-2017-0145, CVE-2017-0146, and CVE-2017-0148.",Apply updates per vendor instructions.,03-05-2022,17-03-2017,8.1,CWE-20,NETWORK,HIGH,HIGH,Management and Governance,Network
CVE-2016-7255,microsoft,Windows,"Microsoft Windows Vista, 7, 8.1, 10 and Windows Server 2008, 2012, and 2016 Win32k Privilege Escalation Vulnerability",03-11-2021,"The kernel-mode drivers allow local users to gain privileges via a crafted application, aka ""Win32k Elevation of Privilege Vulnerability""",Apply updates per vendor instructions.,03-05-2022,10-11-2016,7.8,CWE-264,LOCAL,LOW,HIGH,Management and Governance,Application
CVE-2019-0708,microsoft,Remote Desktop Services,"""BlueKeep"" Microsoft Windows Remote Desktop Remote Code Execution Vulnerability",03-11-2021,A remote code execution vulnerability exists in Remote Desktop Services formerly known as Terminal Services when an unauthenticated attacker connects to the target system using RDP and sends specially crafted requests.,Apply updates per vendor instructions.,03-05-2022,16-05-2019,9.8,CWE-416,NETWORK,LOW,CRITICAL,Management and Governance,Network
CVE-2021-34473,microsoft,Microsoft Exchange Server,Microsoft Exchange Server Remote Code Execution Vulnerability,03-11-2021,"Microsoft Exchange Server Remote Code Execution Vulnerability. This CVE ID is unique from CVE-2021-31196, CVE-2021-31206.",Apply updates per vendor instructions.,17-11-2021,14-07-2021,9.8,NVD-CWE-noinfo,NETWORK,LOW,CRITICAL,Management and Governance,Network
CVE-2020-1464,microsoft,Windows,Microsoft Windows Spoofing Vulnerability,03-11-2021,A spoofing vulnerability exists when Windows incorrectly validates file signatures.,Apply updates per vendor instructions.,03-05-2022,17-08-2020,5.5,CWE-347,LOCAL,LOW,MEDIUM,Management and Governance,Network
CVE-2021-1732,microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability,03-11-2021,Windows Win32k Privilege Escalation Vulnerability. This CVE ID is unique from CVE-2021-1698.,Apply updates per vendor instructions.,17-11-2021,25-02-2021,7.8,CWE-269,LOCAL,LOW,HIGH,Management and Governance,Access Control
CVE-2021-34527,microsoft,Windows,"""PrintNightmare"" - Microsoft Windows Print Spooler Remote Code Execution Vulnerability",03-11-2021,Windows Print Spooler Remote Code Execution Vulnerability,Apply updates per vendor instructions.,20-07-2021,02-07-2021,8.8,CWE-269,NETWORK,LOW,HIGH,Management and Governance,Network
CVE-2021-31207,microsoft,Microsoft Exchange Server,Microsoft Exchange Server Security Feature Bypass Vulnerability,03-11-2021,Microsoft Exchange Server Security Feature Bypass Vulnerability,Apply updates per vendor instructions.,17-11-2021,11-05-2021,7.2,NVD-CWE-noinfo,NETWORK,LOW,HIGH,Management and Governance,Application
CVE-2019-0803,microsoft,Win32k,Microsoft Win32k Escalation Kernel Vulnerability,03-11-2021,"A privilege escalation vulnerability exists in Windows when the Win32k component fails to properly handle objects in memory, aka 'Win32k Elevation of Privilege Vulnerability'. This CVE ID is unique from CVE-2019-0685, CVE-2019-0859.",Apply updates per vendor instructions.,03-05-2022,09-04-2019,7.8,NVD-CWE-noinfo,LOCAL,LOW,HIGH,Management and Governance,Access Control
CVE-2020-1040,microsoft,Hyper-V RemoteFX vGPU,Hyper-V RemoteFX vGPU Remote Code Execution Vulnerability,03-11-2021,"A remote code execution vulnerability exists when Hyper-V RemoteFX vGPU on a host server fails to properly validate input from an authenticated user on a guest operating system. This CVE ID is unique from CVE-2020-1032, CVE-2020-1036, CVE-2020-1041, CVE-2020-1042, CVE-2020-1043.",Apply updates per vendor instructions.,03-05-2022,14-07-2020,9.0,CWE-20,ADJACENT_NETWORK,LOW,CRITICAL,Management and Governance,Network
CVE-2021-28310,microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability,03-11-2021,Win32k Privilege Escalation Vulnerability. This CVE ID is unique from CVE-2021-27072.,Apply updates per vendor instructions.,17-11-2021,13-04-2021,7.8,NVD-CWE-noinfo,LOCAL,LOW,HIGH,Management and Governance,Access Control
CVE-2020-1350,microsoft,Windows,"""SigRed"" - Microsoft Windows Domain Name System (DNS) Server Remote Code Execution Vulnerability",03-11-2021,A remote code execution vulnerability exists in Windows Domain Name System servers when they fail to properly handle requests.,Apply updates per vendor instructions.,24-07-2020,14-07-2020,10.0,"CWE-787,CWE-190",NETWORK,LOW,CRITICAL,Management and Governance,Network
CVE-2021-26411,microsoft,"Microsoft Edge, Internet Explorer",Microsoft Internet Explorer and Edge Memory Corruption Vulnerability,03-11-2021,Internet Explorer Memory Corruption Vulnerability,Apply updates per vendor instructions.,17-11-2021,11-03-2021,7.5,CWE-787,NETWORK,HIGH,HIGH,Management and Governance,Other
CVE-2019-0859,microsoft,Win32k,Microsoft Win32k Escalation Kernel Vulnerability,03-11-2021,"A privilege escalation vulnerability exists in Windows when the Win32k component fails to properly handle objects in memory, aka 'Win32k Elevation of Privilege Vulnerability'. This CVE ID is unique from CVE-2019-0685, CVE-2019-0803.",Apply updates per vendor instructions.,03-05-2022,09-04-2019,7.8,NVD-CWE-noinfo,LOCAL,LOW,HIGH,Management and Governance,Access Control
CVE-2021-40444,microsoft,Microsoft MSHTML,"Microsoft Windows, Server (spec. IE) All Arbitrary Code Execution",03-11-2021,Microsoft MSHTML Remote Code Execution Vulnerability,Apply updates per vendor instructions.,17-11-2021,15-09-2021,7.8,NVD-CWE-noinfo,LOCAL,LOW,HIGH,Management and Governance,Application
CVE-2017-8759,microsoft,Microsoft .NET Framework,.NET Framework Remote Code Execution vulnerability,03-11-2021,"Microsoft .NET Framework 2.0, 3.5, 3.5.1, 4.5.2, 4.6, 4.6.1, 4.6.2 and 4.7 allow an attacker to execute code remotely via a malicious document or application.",Apply updates per vendor instructions.,03-05-2022,13-09-2017,7.8,CWE-20,LOCAL,LOW,HIGH,Management and Governance,Network
CVE-2018-8653,microsoft,Internet Explorer Scripting Engine,Microsoft Internet Explorer Scripting Engine JScript Memory Corruption Vulnerability,03-11-2021,"A remote code execution vulnerability exists in the way that the scripting engine handles objects in memory in Internet Explorer, aka ""Scripting Engine Memory Corruption Vulnerability."" This CVE ID is unique from CVE-2018-8643.",Apply updates per vendor instructions.,03-05-2022,20-12-2018,7.5,CWE-787,NETWORK,HIGH,HIGH,Management and Governance,Application
CVE-2019-0797,microsoft,Win32k,Microsoft Win32k.sys Driver Vulnerability,03-11-2021,"A privilege escalation vulnerability exists in Windows when the Win32k component fails to properly handle objects in memory, aka 'Win32k Elevation of Privilege Vulnerability'. This CVE ID is unique from CVE-2019-0808.",Apply updates per vendor instructions.,03-05-2022,09-04-2019,7.8,NVD-CWE-noinfo,LOCAL,LOW,HIGH,Management and Governance,Access Control
CVE-2021-36942,microsoft,Windows,Microsoft Windows Local Security Authority (LSA) Spoofing,03-11-2021,"Windows Local Security Authority (LSA) Spoofing Vulnerability ""PetitPotam""",Apply updates per vendor instructions.,17-11-2021,12-08-2021,5.3,CWE-290,NETWORK,LOW,MEDIUM,Management and Governance,Network
CVE-2019-1215,microsoft,Windows,Microsoft Windows Winsock (ws2ifsl.sys) Vulnerability,03-11-2021,"A privilege escalation vulnerability exists in the way that ws2ifsl.sys (Winsock) handles objects in memory, aka 'Windows Elevation of Privilege Vulnerability'. This CVE ID is unique from CVE-2019-1253, CVE-2019-1278, CVE-2019-1303.",Apply updates per vendor instructions.,03-05-2022,11-09-2019,7.8,NVD-CWE-noinfo,LOCAL,LOW,HIGH,Management and Governance,Access Control
CVE-2018-0798,microsoft,Office,Microsoft Office 2007 - 2016 Backdoor Exploitation Chain,03-11-2021,"Allows a remote code execution vulnerability due to the way objects are handled in memory, aka ""Microsoft Office Memory Corruption Vulnerability"".",Apply updates per vendor instructions.,03-05-2022,10-01-2018,8.8,CWE-787,NETWORK,LOW,HIGH,SaaS,Application
CVE-2018-0802,microsoft,Office,Microsoft Office 2007 - 2016 Backdoor Exploitation Chain,03-11-2021,"Allows a remote code execution vulnerability due to the way objects are handled in memory, aka ""Microsoft Office Memory Corruption Vulnerability"". This CVE is unique from CVE-2018-0797 and CVE-2018-0812.",Apply updates per vendor instructions.,03-05-2022,10-01-2018,7.8,CWE-787,LOCAL,LOW,HIGH,SaaS,Application
CVE-2021-27085,microsoft,Internet Explorer,Internet Explorer 11 Remote Code Execution Vulnerability,03-11-2021,Internet Explorer Remote Code Execution Vulnerability,Apply updates per vendor instructions.,17-11-2021,11-03-2021,7.5,NVD-CWE-noinfo,NETWORK,HIGH,HIGH,Management and Governance,Network
CVE-2019-0541,microsoft,MSHTML engine,Microsoft MSHTML Engine Remote Code Execution Vulnerability,03-11-2021,"A remote code execution vulnerability exists in the way that the MSHTML engine improperly validates input, aka ""MSHTML Engine Remote Code Execution Vulnerability.",Apply updates per vendor instructions.,03-05-2022,08-01-2019,8.8,CWE-77,NETWORK,LOW,HIGH,Management and Governance,Network
CVE-2017-11882,microsoft,Office,Microsoft Office memory corruption vulnerability,03-11-2021,"Allows an attacker to run arbitrary code in the context of the current user by failing to properly handle objects in memory, aka ""Microsoft Office Memory Corruption Vulnerability"". This CVE ID is unique from CVE-2017-11884.",Apply updates per vendor instructions.,03-05-2022,15-11-2017,7.8,CWE-119,LOCAL,LOW,HIGH,SaaS,Other
